transect_id,pc_id,lat,lon,year,species_code,scientific_name,common_name,hab_type
BOSACH,BOSACH_PC2,17.543854,-90.19600603,2019,monoro1,Psarocolius montezuma,Montezuma Oropendola,forest
BOSACH,BOSACH_PC2,17.543854,-90.19600603,2019,whbwre1,Uropsila leucogastra,White-bellied Wren,forest
BOSACH,BOSACH_PC2,17.543854,-90.19600603,2019,nobwoo1,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,forest
BOSACH,BOSACH_PC3,17.54578301,-90.19685897,2019,pabwoo1,Campephilus guatemalensis,Pale-billed Woodpecker,forest
BOSACH,BOSACH_PC3,17.54578301,-90.19685897,2019,grbspa1,Arremonops chloronotus,Green-backed Sparrow,forest
BOSACH,BOSACH_PC3,17.54578301,-90.19685897,2019,grhtan1,Eucometis penicillata,Gray-headed Tanager,forest
BOSACH,BOSACH_PC3,17.54578301,-90.19685897,2019,goowoo1,Colaptes rubiginosus,Golden-olive Woodpecker,forest
BOSACH,BOSACH_PC3,17.54578301,-90.19685897,2019,gyhdov1,Leptotila plumbeiceps,Gray-headed Dove,forest
BOSACH,BOSACH_PC4,17.54730097,-90.19812296,2019,grhtan1,Eucometis penicillata,Gray-headed Tanager,forest
BOSACH,BOSACH_PC4,17.54730097,-90.19812296,2019,wbwwre1,Henicorhina leucosticta,White-breasted Wood-Wren,forest
BOSACH,BOSACH_PC4,17.54730097,-90.19812296,2019,bkfant2,Formicarius moniliger,Mayan Antthrush,forest
BOSACH,BOSACH_PC4,17.54730097,-90.19812296,2019,bubgro1,Cyanoloxia cyanoides,Blue-black Grosbeak,forest
BOSACH,BOSACH_PC4,17.54730097,-90.19812296,2019,grycat,Dumetella carolinensis,Gray Catbird,forest
BOSACH,BOSACH_PC4,17.54730097,-90.19812296,2019,rutjac1,Galbula ruficauda,Rufous-tailed Jacamar,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,laufal1,Herpetotheres cachinnans,Laughing Falcon,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,thitin1,Crypturellus cinnamomeus,Thicket Tinamou,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,wbwwre1,Henicorhina leucosticta,White-breasted Wood-Wren,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,sttspa1,Platyrinchus cancrominus,Stub-tailed Spadebill,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,bucmot2,Momotus lessonii,Lesson's Motmot,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,plaxen2,Xenops mexicanus,Northern Plain-Xenops,forest
